자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-64783,2025-12-01 0:00,5084,강서우체국,0,2025-12-01 0:03,1166,강서구립등빛도서관,0,2,176.29,1981,\N,내국인,ST-3100,ST-1351,일반자전거
SPB-64275,2025-12-01 0:01,5151,진넥스베르디엠 앞,0,2025-12-01 0:03,3516,구의아리수정수센터앞,0,1,270,1995,F,내국인,ST-3367,ST-1271,일반자전거
SPB-37686,2025-12-01 0:01,3651,개포동역 4번출구,0,2025-12-01 0:04,2431,대치역 7번출구,0,2,0,2002,M,내국인,ST-3049,ST-1897,일반자전거
SPB-69829,2025-12-01 0:00,4031,청암예술학교 앞,0,2025-12-01 0:04,2920,상계중학교(당현2교사거리),0,3,633.73,1977,\N,내국인,ST-2729,ST-2086,일반자전거
SPB-59846,2025-12-01 0:00,230,영등포구청역 7번출구,0,2025-12-01 0:04,\N,\N,\N,4,0,1997,M,내국인,ST-413,\N,일반자전거
SPB-64066,2025-12-01 0:00,2335,3호선 매봉역 3번출구앞,0,2025-12-01 0:04,2414,도곡역 아카데미스위트 앞,0,4,600,\N,\N,\N,ST-818,ST-1880,일반자전거
SPB-73510,2025-12-01 0:00,4134,제기동 현대아파트 앞,0,2025-12-01 0:04,609,제기2교,0,3,851.17,\N,\N,내국인,ST-3206,ST-269,일반자전거
SPB-47632,2025-12-01 0:00,2639,석촌역 8번출구,0,2025-12-01 0:04,4868,석촌호수 서호 남단,0,4,384.95,2000,M,내국인,ST-1866,ST-2833,일반자전거
SPB-61292,2025-12-01 0:03,4406,장곡초등학교 앞,0,2025-12-01 0:04,4425,하늘채코오롱아파트 앞,0,1,88.08,2001,F,내국인,ST-2731,ST-3264,일반자전거
SPB-60789,2025-12-01 0:00,3569,건대병원후문,0,2025-12-01 0:04,3575,자양사거리(서원빌딩),0,4,968.4,\N,\N,\N,ST-2308,ST-2314,일반자전거
SPB-59348,2025-12-01 0:01,502,자양(뚝섬한강공원)역 1번출구 앞,0,2025-12-01 0:05,501,광진문화예술회관 앞,0,3,667,2002,\N,내국인,ST-99,ST-98,일반자전거
SPB-58752,2025-12-01 0:00,5064,양천향교역8번출구,0,2025-12-01 0:05,3783,마곡금호어울림아파트,0,5,686.25,1991,\N,내국인,ST-2943,ST-2490,일반자전거
SPB-74352,2025-12-01 0:02,3570,구의역 리버비스타 오피스텔,0,2025-12-01 0:05,3575,자양사거리(서원빌딩),0,3,649.34,2000,M,내국인,ST-2309,ST-2314,일반자전거
SPB-60884,2025-12-01 0:02,4140,신설동역 4번출구,0,2025-12-01 0:05,612,시립동부병원 앞 사거리,0,3,438.41,1999,\N,내국인,ST-3333,ST-271,일반자전거
SPB-41827,2025-12-01 0:00,905,구파발역 2번출구,0,2025-12-01 0:05,938,금암 문화공원,0,5,940.8,2005,M,내국인,ST-453,ST-1024,일반자전거
SPB-73147,2025-12-01 0:00,2375,수서역 1번출구 앞,0,2025-12-01 0:06,2659,서울친환경유통센터,0,5,1096.26,1991,\N,내국인,ST-1184,ST-2410,일반자전거
SPB-55836,2025-12-01 0:03,4428,돈암동부센트레빌상가,0,2025-12-01 0:06,4418,종암동 동덕여대 제2생활관 앞,0,2,0,\N,\N,\N,ST-3378,ST-3046,일반자전거
